id,name,address
508," SIA ""Dundagas veselības centrs"""," Pils iela 6, Dundaga, Dundagas pagasts, Talsu novads"
276," SIA ""Irlavas Sarkanā Krusta slimnīca"" Pieaugušo ilgstošās sociālās aprūpes un sociālās rehabilitācijas nodaļa"," ""Irlavas slimnīca"", Irlava, Irlavas pagasts, Tukuma novads"
751," SIA ""Līvānu slimnīca"" Ilgstošas sociālās aprūpes un sociālās rehabilitācijas strukrūrvienība"," Zaļā iela 44, Līvāni, Līvānu novads"
336," SIA ""Rehabilitācijas centrs ""Līgatne"" struktūrvienība ""Senioru māja"""," Skaļupes, Līgatnes pagasts, Cēsu novads"
472," SIA ""Rekreācijas centrs ""Vīķi"""""," ""Veckabi"", Staiceles pagasts, Limbažu novads"
890," SIA ""Varakļānu veselības aprūpes centrs"" Sociālās aprūpes nodaļa"," Pils iela 25A, Varakļāni, Varakļānu novads"
880," SIA ""Veselības centrs ""Ilūkste"""""," Raiņa iela 35, Ilūkste, Augšdaugavas novads"
882," SIA ""Veselības centrs Ilūkste"" Ilgstošas sociālās aprūpes un sociālās rehabilitācijas nodaļa ""Mūsmājas ""Dižkoks"""""," Mūsmājas Dižkoks, Dviete, Dvietes pagasts, Augšdaugavas novads"
887," SIA ""Veselības centrs Ilūkste"" sociālās aprūpes nodaļa Subate"," Sporta iela 20, Subate, Augšdaugavas novads"
545," SIA ""Viesītes veselības un sociālās aprūpes centrs"""," Smilšu iela 39, Viesīte, Jēkabpils novads"
759," SIA ""Zilupes veselības un sociālās aprūpes centrs"""," Priežu iela 9, Zilupe, Zilupes pagasts, Ludzas novads"
489, Sabiles pamatskola," Ventspils iela 17A, Sabile, Talsu novads"
590, Sakstagala Jāņa Klīdzēja pamatskola," Skolas Iela 13, Ciukori, Sakstagala pagasts, Rēzeknes novads"
908, Salacgrīvas vidusskola," Pērnavas iela 31, Salacgrīva, Limbažu novads"
681, Salas pamatskola," Salas pamatskola, Smelteri, Saunas pagasts, Preiļu novads"
366, Salas vidusskola," Alejas iela 7, Sala, Jēkabpils novads"
362, Salas vidusskola," Skolas iela 3, Sala, Jēkabpils novads"
380," Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola"""," Ceru iela 1, Lauku iela 1, Salaspils, Salaspils novads"
379, Salaspils pamatskola," Skolas iela 6, Salaspils, Salaspils novads"
180, Saldus novada pašvaldības Druvas vidusskola," Skolas iela 2, Druva, Saldus pagasts, Saldus novads"
207, Saldus novada pašvaldības Ezeres pamatskola," Centra iela 5, Ezere, Ezeres pagasts, Saldus novads"
179, Saldus novada pašvaldības Lutriņu pamatskola," Skolas iela 1, Lutriņi, Lutriņu pagasts, Saldus novads"
208, Saldus novada pašvaldības Striķu sākumskola," ""Striķu skola"", Zvārdes pagasts, Saldus novads"
203, Saldus novada pašvaldības Zirņu pamatskola," ""Zirņu pamatskola"", Zirņi, Zirņu pagasts, Saldus novads"
446," Saldus novada pašvaldības aģentūras ""Sociālais dienests"" sociālās aprūpes centrs ""Ābeles"""," Ābeles, Lutriņi, Lutriņu pagasts, Salďus novads"
183, Saldus pamatskola," Lielā iela 31/35, Saldus, Saldus novads"
185, Saldus tehnikums," Kalnsētas iela 16, Saldus, Saldus novads"
186, Saldus tehnikums," Kalnsētas iela 24, Saldus, Saldus novads"
184, Saldus tehnikums," Kalnsētas iela 35, Saldus, Saldus novads"
552, Saldus vidusskola," Cieceres iela 6, Saldus, Saldus novads"
553, Saldus vidusskola," J. Rozentāla iela 19, Saldus, Saldus novads"
435, Salgales pamatskola," 1.Maija iela 9, Salgales pagasts, Jelgavas novads"
772, Salienas vidusskola," Centrāles iela 21, Saliena, Salienas pagasts, Augšdaugavas novads"
728, Salnavas pamatskola," Skolas iela 8, Salnava, Salnavas pagasts, Ludzas novads"
210, Saulkrastu novada vidusskola,"  Raiņa iela 6, Saulkrasti, Saulkrastu novads"
213, Saulkrastu novada vidusskola," Atpūtas iela 1, Zvejniekciems, Saulkrastu pagasts, Saulkrastu novads"
209, Saulkrastu novada vidusskola," Smilšu iela 3, Saulkrasti, Saulkrastu novads"
360, Seces pagasta pamatskola," ""Seces pamatskola"", Sece, Seces pagasts, Aizkraukles novads"
570, Sesavas pamatskola," Skolas iela 1, Sesava, Sesavas pagasts, Jelgavas novads"
898, Siguldas 1. pamatskola," Pulkveža Brieža iela 105, Sigulda, Siguldas novads"
310, Siguldas Valsts ģimnāzija," Ata Kronvalda iela 7, Sigulda, Siguldas novads"
701," Siguldas novada pašvaldības Sociālās aprūpes māja ""Gaismiņas"""," Gaismiņas, Stīveri, Allažu pagasts, Siguldas novads"
872, Siguldas pilsētas vidusskola," Krišjāņa Barona iela 10, Sigulda, Siguldas novads"
480, Sikšņu pamatskola," ""Sikšņu Pamatskola"", Sikšņi, Dunikas pagasts, Dienvidkurzemes novads"
774, Silenes pamatskola," Skolas iela 19, Silene, Skrudalienas pagasts, Augšdaugavas novads"
743, Skaistkalnes vidusskola," Rīgas iela 5, Skaistkalne, Skaistkalnes pagasts, Bauskas novads"
742, Skaistkalnes vidusskola," Skolas iela 5, Skaistkalne, Skaistkalnes pagasts, Bauskas novads"
365, Skrundas vidusskola," Liepājas iela 12, Skrunda, Kuldīgas novads"
289, Skujenes pamatskola," Skujenes skola, Skujenes pagasts, Cēsu novads"
116, Slokas pamatskola," Skolas iela 3, Jūrmala"
591, Smiltenes novada speciālā pamatskola," ""Speciālā internātskola"", Palsmane, Palsmanes pagasts, Smiltenes novads"
517, Smiltenes tehnikums," ""Alsviķu profesionālā skola"", Alsviķi, Alsviķu pagasts, Alūksnes novads"
520, Smiltenes tehnikums," ""Kalnamuiža 10"", Smiltenes pagasts, Smiltenes novads"
522, Smiltenes tehnikums," ""Kalnamuiža 12"", Smiltenes pagasts, Smiltenes novads"
524, Smiltenes tehnikums," ""Kalnamuiža 15"", Smiltenes pagasts, Smiltenes novads"
523, Smiltenes tehnikums," ""Kalnamuiža 3"", Smiltenes pagasts, Smiltenes novads"
521, Smiltenes tehnikums," ""Kalnamuiža 6"", Smiltenes pagasts, Smiltenes novads"
525, Smiltenes tehnikums," Pils iela 8, Smiltene, Smiltenes novads"
669, Smiltenes vidusskola," Dakteru iela 27, Smiltene, Smiltenes novads"
668, Smiltenes vidusskola," Dārza iela 17, Smiltene, Smiltenes novads"
625, Smiltenes vidusskola," Rīgas iela 16C, Smiltene, Smiltenes novads"
616, Smārdes pamatskola," ""Smārdes Pamatskola"", Smārde, Smārdes pagasts, Tukuma novads"
720," Sociālo pakalpojumu centrs ""Pīlādzis"""," Lielā iela 43, Kalupe, Kalupes pagasts, Augšdaugavas novads"
333," Sociālās aprūpes centrs  ""Siltais''"," Siltais, Līgo pagasts, Gulbenes novads"
388," Sociālās aprūpes centrs ""Lode"""," ""Pīlādzīts"", Lode, Lodes pagasts, Valmieras novads"
484," Sociālās aprūpes centrs ""Pīlādži"""," ""Saules"", Mālupe, Mālupes pagasts, Alūksnes novads"
547," Sociālās aprūpes centrs ""Pļaviņas"""," Daugavas iela 54, Pļaviņas, Aizkraukles novads"
346," Sociālās aprūpes centrs ""Rauda"""," Aprūpes Centrs, Rauda, Smārdes pagasts, Tukuma novads"
752," Sociālās aprūpes centrs ""Rožlejas"""," Draudzības laukums 1, Rožupe, Rožupes pagasts, Līvānu novads"
328," Sociālās aprūpes centrs ""Rugāji"""," Kurmenes iela 8, Rugāji, Rugāju pagasts, Balvu novads"
679," Sociālās aprūpes centrs ""Rušona"""," Gaiļmuiža, Rušonas pagasts, Preiļu novads"
146," Sociālās aprūpes centrs ""Tērvete"""," Mežmalieši, Tērvetes pagasts, Dobeles novads"
684," Sociālās aprūpes centrs ""Vārkava"""," Skolas iela 1, Vārkava, Vārkavas pagasts, Preiļu novads"
529," Sociālās aprūpes centrs ""Zemgale"""," Skolas iela 9, Ozolnieki, Ozolnieku pagasts, Jelgavas novads"
349," Sociālās aprūpes centrs ""Ziedugravas"""," Ziedugravas, Skrīveru pagasts, Aizkraukles novads"
741," Sociālās aprūpes centrs - pansionāts ""Pērle""","	Ulda Sproģa iela 9, Umurga, Umurgas pagasts, Limbažu novads"
295, Sociālās aprūpes centrs - pansionāts ''Pērle''," Sporta iela 4, Podciems, Katvaru pagasts, Limbažu novads"
839, Sociālās aprūpes māja Gauja," Gaujaslīču iela 5, Gauja, Inčukalna pagasts, Siguldas novads"
1000, Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola," Slokas iela 68, Jūrmala"
